Location,Rural/Urban,School Category,School Management,Primary (I-V),Secondary (IX-X),Higher Secondary (XI-XII)
ANANTAPUR,Rural,HSS (I-XII),Department of Education,201,929,977
ANANTAPUR,Rural,HSS (VI-XII),Department of Education,0,4116,3192
ANANTAPUR,Urban,HSS (VI-XII),Department of Education,0,1201,860
ANANTAPUR,Rural,HSS (XI-XII),Department of Education,0,0,8430
ANANTAPUR,Urban,HSS (XI-XII),Department of Education,0,0,11203
ANANTAPUR,Rural,PS (I-V),Department of Education,270,0,0
ANANTAPUR,Urban,PS (I-V),Department of Education,176,0,0
ANANTAPUR,Rural,SS (I-X),Department of Education,431,808,0
ANANTAPUR,Urban,SS (I-X),Department of Education,163,287,0
ANANTAPUR,Rural,SS (VI-X),Department of Education,0,4212,0
ANANTAPUR,Urban,SS (VI-X),Department of Education,0,3879,0
ANANTAPUR,Rural,UPS (I-VIII),Department of Education,180,0,0
ANANTAPUR,Rural,HSS (XI-XII),Government Aided,0,0,619
ANANTAPUR,Urban,HSS (XI-XII),Government Aided,0,0,1459
ANANTAPUR,Rural,PS (I-V),Government Aided,490,0,0
ANANTAPUR,Urban,PS (I-V),Government Aided,889,0,0
ANANTAPUR,Rural,SS (VI-X),Government Aided,0,303,0
ANANTAPUR,Urban,SS (VI-X),Government Aided,0,834,0
ANANTAPUR,Rural,UPS (I-VIII),Government Aided,283,0,0
ANANTAPUR,Urban,UPS (I-VIII),Government Aided,133,0,0
ANANTAPUR,Rural,HSS (VI-XII),Jawahar Navodaya Vidyalaya,0,163,84
ANANTAPUR,Rural,SS (I-X),Kendriya Vidyalaya / Central School,248,71,0
ANANTAPUR,Urban,SS (I-X),Kendriya Vidyalaya / Central School,436,158,0
ANANTAPUR,Rural,SS (VI-X),Kendriya Vidyalaya / Central School,0,71,0
ANANTAPUR,Rural,PS (I-V),Local body,134025,0,0
ANANTAPUR,Urban,PS (I-V),Local body,23858,0,0
ANANTAPUR,Rural,SS (I-X),Local body,2251,3963,0
ANANTAPUR,Urban,SS (I-X),Local body,1220,1352,0
ANANTAPUR,Rural,SS (VI-X),Local body,0,40351,0
ANANTAPUR,Urban,SS (VI-X),Local body,0,10146,0
ANANTAPUR,Rural,UPS (I-VIII),Local body,31040,0,0
ANANTAPUR,Urban,UPS (I-VIII),Local body,6023,0,0
ANANTAPUR,Rural,UPS (VI-VIII),Local body,0,0,0
ANANTAPUR,Rural,UPS (I-VIII),Madarsa recognized (by Wakf board/Madarsa Board),0,0,0
ANANTAPUR,Urban,UPS (I-VIII),Madarsa recognized (by Wakf board/Madarsa Board),86,0,0
ANANTAPUR,Rural,PS (I-V),Madarsa unrecognized,75,0,0
ANANTAPUR,Urban,PS (I-V),Madarsa unrecognized,80,0,0
ANANTAPUR,Rural,UPS (I-VIII),Madarsa unrecognized,72,0,0
ANANTAPUR,Urban,UPS (I-VIII),Madarsa unrecognized,323,0,0
ANANTAPUR,Rural,HSS (I-XII),Private Unaided (Recognized),0,0,1071
ANANTAPUR,Urban,HSS (I-XII),Private Unaided (Recognized),0,0,198
ANANTAPUR,Rural,HSS (XI-XII),Private Unaided (Recognized),0,0,13522
ANANTAPUR,Urban,HSS (XI-XII),Private Unaided (Recognized),0,0,23865
ANANTAPUR,Rural,PS (I-V),Private Unaided (Recognized),30766,0,0
ANANTAPUR,Urban,PS (I-V),Private Unaided (Recognized),47882,0,0
ANANTAPUR,Rural,SS (I-X),Private Unaided (Recognized),1017,348,0
ANANTAPUR,Urban,SS (I-X),Private Unaided (Recognized),1114,289,0
ANANTAPUR,Rural,SS (VI-X),Private Unaided (Recognized),0,13524,0
ANANTAPUR,Urban,SS (VI-X),Private Unaided (Recognized),0,18223,0
ANANTAPUR,Rural,UPS (I-VIII),Private Unaided (Recognized),24571,0,0
ANANTAPUR,Urban,UPS (I-VIII),Private Unaided (Recognized),14963,0,0
ANANTAPUR,Urban,SS (VI-X),Railway School,0,152,0
