Location,Rural/Urban,School Category ,School Management,Primary (I-V),Secondary (IX-X),Higher Secondary (XI-XII)
Central,Urban ,HSS (I-XII),Department of Education,4752,3300,2894
Central,Urban ,HSS (IX-XII),Department of Education,0,20,20
Central,Urban , HSS (VI-XII),Department of Education,0,2277,1531
Central,Urban ,SS (VI-X),Department of Education,0,460,0
Central,Urban ,UPS (I-VIII) ,Department of Education,81,0,0
Central,Urban ,UPS (VI-VIII) ,Department of Education,0,0,0
Central,Urban ,HSS (I-XII),Government Aided,4706,2839,2894
Central,Urban ,HSS (IX-XII),Government Aided,0,54,74
Central,Urban , HSS (VI-XII),Government Aided,0,4537,5586
Central,Urban ,PS (I-V) ,Government Aided,3280,0,0
Central,Urban , SS (I-X) ,Government Aided,434,283,0
Central,Urban ,SS (VI-X),Government Aided,0,234,0
Central,Urban ,UPS (I-VIII) ,Government Aided,242,0,0
Central,Urban ,UPS (VI-VIII) ,Government Aided,0,0,0
Central,Urban ,PS (I-V) ,Local body,13879,0,0
Central,Urban ,HSS (I-XII),Private Unaided (Recognized),10124,5396,5143
Central,Urban , HSS (VI-XII),Private Unaided (Recognized),0,308,308
Central,Urban ,PS (I-V) ,Private Unaided (Recognized),2343,0,0
Central,Urban , SS (I-X) ,Private Unaided (Recognized),669,243,0
Central,Urban ,SS (VI-X),Private Unaided (Recognized),0,128,0
Central,Urban ,UPS (I-VIII) ,Private Unaided (Recognized),809,0,0
Central,Urban ,HSS (I-XII),Social welfare Department,119,181,227
East,Urban ,HSS (I-XII),Department of Education,19033,32717,32261
East,Urban ,HSS (IX-XII),Department of Education,0,198,97
East,Urban , HSS (VI-XII),Department of Education,0,15766,14377
East,Urban , SS (I-X) ,Department of Education,118,243,0
East,Urban ,SS (VI-X),Department of Education,0,3594,0
East,Urban ,HSS (I-XII),Government Aided,1325,850,920
East,Urban , HSS (VI-XII),Government Aided,0,853,736
East,Urban ,PS (I-V) ,Government Aided,1900,0,0
East,Urban , SS (I-X) ,Government Aided,228,112,0
East,Urban ,SS (VI-X),Government Aided,0,12,0
East,Urban ,UPS (I-VIII) ,Government Aided,135,0,0
East,Urban ,UPS (VI-VIII) ,Government Aided,0,0,0
East,Urban ,HSS (I-XII),Kendriya Vidyalaya / Central School,5070,2176,1880
East,Urban , SS (I-X) ,Kendriya Vidyalaya / Central School,238,47,0
East,Rural,PS (I-V) ,Local body,176,0,0
East,Urban ,PS (I-V) ,Local body,72595,0,0
East,Urban ,HSS (I-XII),Private Unaided (Recognized),41993,21265,22706
East,Urban ,PS (I-V) ,Private Unaided (Recognized),17367,0,0
East,Urban , SS (I-X) ,Private Unaided (Recognized),3011,1727,0
East,Urban ,UPS (I-VIII) ,Private Unaided (Recognized),15371,0,0
East,Urban ,UPS (VI-VIII) ,Private Unaided (Recognized),0,0,0
East,Urban ,PS (I-V) ,Social welfare Department,39,0,0
New Delhi,Urban ,HSS (I-XII),Department of Education,321,258,367
New Delhi,Urban , HSS (VI-XII),Department of Education,0,136,73
New Delhi,Urban ,HSS (I-XII),Government Aided,5346,3193,3186
