Location,Rural/Urban,School Category ,School Management,Primary (I-V),Secondary (IX-X),Higher Secondary (XI-XII)
BAGALKOT,Rural,HSS (IX-XII),Department of Education,0,3832,3702
BAGALKOT,Urban ,HSS (IX-XII),Department of Education,0,4107,3107
BAGALKOT,Urban , HSS (VI-XII),Department of Education,0,818,1225
BAGALKOT,Rural,HSS (XI-XII),Department of Education,0,0,1982
BAGALKOT,Urban ,HSS (XI-XII),Department of Education,0,0,5017
BAGALKOT,Rural,PS (I-V) ,Department of Education,14572,0,0
BAGALKOT,Urban ,PS (I-V) ,Department of Education,3308,0,0
BAGALKOT,Rural, SS (I-X) ,Department of Education,6968,4652,0
BAGALKOT,Urban , SS (I-X) ,Department of Education,1192,984,0
BAGALKOT,Rural,SS (IX-X),Department of Education,0,17508,0
BAGALKOT,Urban ,SS (IX-X),Department of Education,0,2691,0
BAGALKOT,Rural,SS (VI-X),Department of Education,0,457,0
BAGALKOT,Urban ,SS (VI-X),Department of Education,0,445,0
BAGALKOT,Rural,UPS (I-VIII) ,Department of Education,75530,0,0
BAGALKOT,Urban ,UPS (I-VIII) ,Department of Education,17658,0,0
BAGALKOT,Rural,UPS (VI-VIII) ,Department of Education,0,0,0
BAGALKOT,Urban ,UPS (VI-VIII) ,Department of Education,0,0,0
BAGALKOT,Urban ,HSS (I-XII),Government Aided,36,502,298
BAGALKOT,Rural,HSS (IX-XII),Government Aided,0,2116,1842
BAGALKOT,Urban ,HSS (IX-XII),Government Aided,0,2436,2685
BAGALKOT,Urban , HSS (VI-XII),Government Aided,0,1012,0
BAGALKOT,Rural,HSS (XI-XII),Government Aided,0,0,1016
BAGALKOT,Urban ,HSS (XI-XII),Government Aided,0,0,5789
BAGALKOT,Rural,PS (I-V) ,Government Aided,82,0,0
BAGALKOT,Urban ,PS (I-V) ,Government Aided,708,0,0
BAGALKOT,Rural, SS (I-X) ,Government Aided,464,275,0
BAGALKOT,Urban , SS (I-X) ,Government Aided,439,910,0
BAGALKOT,Rural,SS (IX-X),Government Aided,0,9299,0
BAGALKOT,Urban ,SS (IX-X),Government Aided,0,5531,0
BAGALKOT,Urban ,SS (VI-X),Government Aided,0,110,0
BAGALKOT,Rural,UPS (I-VIII) ,Government Aided,9193,0,0
BAGALKOT,Urban ,UPS (I-VIII) ,Government Aided,10928,0,0
BAGALKOT,Rural, HSS (VI-XII),Jawahar Navodaya Vidyalaya ,0,180,86
BAGALKOT,Urban , SS (I-X) ,Kendriya Vidyalaya / Central School,261,145,0
BAGALKOT,Urban ,SS (IX-X),Other Govt. managed schools,0,52,0
BAGALKOT,Rural,HSS (I-XII),Private Unaided (Recognized),384,134,0
BAGALKOT,Urban ,HSS (I-XII),Private Unaided (Recognized),2046,727,0
BAGALKOT,Rural,HSS (IX-XII),Private Unaided (Recognized),0,298,113
BAGALKOT,Rural,HSS (XI-XII),Private Unaided (Recognized),0,0,3974
BAGALKOT,Urban ,HSS (XI-XII),Private Unaided (Recognized),0,0,11043
BAGALKOT,Rural,PS (I-V) ,Private Unaided (Recognized),8049,0,0
BAGALKOT,Urban ,PS (I-V) ,Private Unaided (Recognized),5511,0,0
BAGALKOT,Rural, SS (I-X) ,Private Unaided (Recognized),7313,2653,0
BAGALKOT,Urban , SS (I-X) ,Private Unaided (Recognized),9897,3486,0
BAGALKOT,Rural,SS (IX-X),Private Unaided (Recognized),0,2897,0
BAGALKOT,Urban ,SS (IX-X),Private Unaided (Recognized),0,4227,0
BAGALKOT,Rural,SS (VI-X),Private Unaided (Recognized),0,0,0
BAGALKOT,Urban ,SS (VI-X),Private Unaided (Recognized),0,44,0
BAGALKOT,Rural,UPS (I-VIII) ,Private Unaided (Recognized),12219,0,0
BAGALKOT,Urban ,UPS (I-VIII) ,Private Unaided (Recognized),14110,0,0
BAGALKOT,Rural,UPS (VI-VIII) ,Private Unaided (Recognized),0,0,0
