Location,Rural/Urban,School Category ,School Management,Primary (I-V),Secondary (IX-X),Higher Secondary (XI-XII)
ARIYALUR,Rural,HSS (I-XII),Department of Education,307,141,192
ARIYALUR,Rural, HSS (VI-XII),Department of Education,7210,7334,8919
ARIYALUR,Urban , HSS (VI-XII),Department of Education,522,526,1467
ARIYALUR,Rural,PS (I-V) ,Department of Education,0,0,0
ARIYALUR,Urban ,PS (I-V) ,Department of Education,0,0,0
ARIYALUR,Rural,SS (VI-X),Department of Education,5584,4277,0
ARIYALUR,Urban ,SS (VI-X),Department of Education,509,506,0
ARIYALUR,Rural,UPS (I-VIII) ,Department of Education,5994,0,0
ARIYALUR,Urban ,UPS (I-VIII) ,Department of Education,132,0,0
ARIYALUR,Rural, HSS (VI-XII),Government Aided,1337,1257,1467
ARIYALUR,Urban , HSS (VI-XII),Government Aided,2212,2359,2870
ARIYALUR,Rural,PS (I-V) ,Government Aided,0,0,0
ARIYALUR,Urban ,PS (I-V) ,Government Aided,0,0,0
ARIYALUR,Rural,SS (VI-X),Government Aided,834,649,0
ARIYALUR,Urban ,SS (VI-X),Government Aided,251,212,0
ARIYALUR,Rural,UPS (I-VIII) ,Government Aided,631,0,0
ARIYALUR,Urban ,UPS (I-VIII) ,Government Aided,215,0,0
ARIYALUR,Rural,UPS (VI-VIII) ,Other Govt. managed schools,45,0,0
ARIYALUR,Rural,HSS (I-XII),Private Unaided (Recognized),2987,2012,1857
ARIYALUR,Urban ,HSS (I-XII),Private Unaided (Recognized),1607,1023,1015
ARIYALUR,Rural, HSS (VI-XII),Private Unaided (Recognized),594,489,528
ARIYALUR,Rural,PS (I-V) ,Private Unaided (Recognized),0,0,0
ARIYALUR,Urban ,PS (I-V) ,Private Unaided (Recognized),0,0,0
ARIYALUR,Rural, SS (I-X) ,Private Unaided (Recognized),904,503,0
ARIYALUR,Urban , SS (I-X) ,Private Unaided (Recognized),379,212,0
ARIYALUR,Rural,SS (VI-X),Private Unaided (Recognized),417,221,0
ARIYALUR,Urban ,UPS (I-VIII) ,Private Unaided (Recognized),4,0,0
ARIYALUR,Rural, HSS (VI-XII),Tribal Welfare Department,146,142,187
ARIYALUR,Rural,PS (I-V) ,Tribal Welfare Department,0,0,0
ARIYALUR,Urban ,PS (I-V) ,Tribal Welfare Department,0,0,0
ARIYALUR,Rural,SS (VI-X),Tribal Welfare Department,36,35,0
CHENGALPATTU,Rural,HSS (I-XII),Department of Education,956,885,928
CHENGALPATTU,Urban ,HSS (I-XII),Department of Education,859,721,793
CHENGALPATTU,Rural, HSS (VI-XII),Department of Education,12267,11448,13268
CHENGALPATTU,Urban , HSS (VI-XII),Department of Education,6708,6564,9806
CHENGALPATTU,Rural,PS (I-V) ,Department of Education,0,0,0
CHENGALPATTU,Urban ,PS (I-V) ,Department of Education,0,0,0
CHENGALPATTU,Rural, SS (I-X) ,Department of Education,312,272,0
CHENGALPATTU,Rural,SS (VI-X),Department of Education,8992,6023,0
CHENGALPATTU,Urban ,SS (VI-X),Department of Education,1069,591,0
CHENGALPATTU,Rural,UPS (I-VIII) ,Department of Education,9742,0,0
CHENGALPATTU,Urban ,UPS (I-VIII) ,Department of Education,2187,0,0
CHENGALPATTU,Rural,HSS (I-XII),Government Aided,1,0,0
CHENGALPATTU,Urban ,HSS (I-XII),Government Aided,1559,1095,710
CHENGALPATTU,Rural, HSS (VI-XII),Government Aided,1854,1474,1242
CHENGALPATTU,Urban , HSS (VI-XII),Government Aided,8062,7898,8430
CHENGALPATTU,Rural,PS (I-V) ,Government Aided,0,0,0
CHENGALPATTU,Urban ,PS (I-V) ,Government Aided,0,0,0
CHENGALPATTU,Rural,SS (VI-X),Government Aided,1051,856,0
CHENGALPATTU,Urban ,SS (VI-X),Government Aided,2332,1627,0
CHENGALPATTU,Rural,UPS (I-VIII) ,Government Aided,608,0,0
CHENGALPATTU,Urban ,UPS (I-VIII) ,Government Aided,1233,0,0
CHENGALPATTU,Urban ,UPS (VI-VIII) ,Government Aided,38,0,0
CHENGALPATTU,Rural,HSS (I-XII),Kendriya Vidyalaya / Central School,845,535,290
CHENGALPATTU,Urban ,HSS (I-XII),Kendriya Vidyalaya / Central School,2019,1095,1320
CHENGALPATTU,Urban , HSS (VI-XII),Local body,1889,1394,1317
CHENGALPATTU,Rural,PS (I-V) ,Local body,0,0,0
CHENGALPATTU,Urban ,PS (I-V) ,Local body,0,0,0
CHENGALPATTU,Urban ,SS (VI-X),Local body,483,260,0
CHENGALPATTU,Urban ,UPS (I-VIII) ,Local body,566,0,0
CHENGALPATTU,Rural,HSS (I-XII),Other Central Govt. Schools,319,154,118
CHENGALPATTU,Urban ,HSS (I-XII),Other Central Govt. Schools,0,127,1
CHENGALPATTU,Rural,HSS (XI-XII),Other Central Govt. Schools,0,0,113
CHENGALPATTU,Rural, SS (I-X) ,Other Central Govt. Schools,439,298,0
CHENGALPATTU,Rural,HSS (I-XII),Private Unaided (Recognized),26529,15721,13664
CHENGALPATTU,Urban ,HSS (I-XII),Private Unaided (Recognized),44384,28347,25782
CHENGALPATTU,Rural, HSS (VI-XII),Private Unaided (Recognized),701,656,660
CHENGALPATTU,Urban , HSS (VI-XII),Private Unaided (Recognized),33,32,80
CHENGALPATTU,Urban ,HSS (XI-XII),Private Unaided (Recognized),0,0,0
CHENGALPATTU,Rural,PS (I-V) ,Private Unaided (Recognized),0,0,0
CHENGALPATTU,Urban ,PS (I-V) ,Private Unaided (Recognized),0,0,0
CHENGALPATTU,Rural, SS (I-X) ,Private Unaided (Recognized),3362,1568,0
CHENGALPATTU,Urban , SS (I-X) ,Private Unaided (Recognized),4418,2163,0
CHENGALPATTU,Rural,SS (VI-X),Private Unaided (Recognized),554,444,0
CHENGALPATTU,Rural,UPS (I-VIII) ,Private Unaided (Recognized),707,0,0
CHENGALPATTU,Urban ,UPS (I-VIII) ,Private Unaided (Recognized),339,0,0
CHENGALPATTU,Rural,PS (I-V) ,Social welfare Department,0,0,0
CHENGALPATTU,Urban ,UPS (I-VIII) ,Social welfare Department,1,0,0
CHENGALPATTU,Urban ,HSS (I-XII),Tribal Welfare Department,1,0,0
CHENGALPATTU,Rural, HSS (VI-XII),Tribal Welfare Department,1418,1134,787
CHENGALPATTU,Urban , HSS (VI-XII),Tribal Welfare Department,343,345,347
CHENGALPATTU,Rural,PS (I-V) ,Tribal Welfare Department,0,0,0
CHENGALPATTU,Urban ,PS (I-V) ,Tribal Welfare Department,0,0,0
CHENGALPATTU,Rural,SS (VI-X),Tribal Welfare Department,145,109,0
CHENGALPATTU,Urban ,SS (VI-X),Tribal Welfare Department,284,198,0
CHENGALPATTU,Rural,UPS (I-VIII) ,Tribal Welfare Department,379,0,0
CHENGALPATTU,Urban ,UPS (I-VIII) ,Tribal Welfare Department,80,0,0
CHENGALPATTU,Rural,PS (I-V) ,Unrecognized,0,0,0
CHENNAI,Urban ,HSS (I-XII),Department of Education,1954,1452,2139
CHENNAI,Urban , HSS (VI-XII),Department of Education,5633,4675,6468
CHENNAI,Urban ,PS (I-V) ,Department of Education,0,0,0
CHENNAI,Urban ,SS (VI-X),Department of Education,475,350,0
CHENNAI,Urban ,HSS (I-XII),Government Aided,9784,7671,8223
CHENNAI,Urban ,HSS (IX-XII),Government Aided,0,4,21
CHENNAI,Urban , HSS (VI-XII),Government Aided,28321,24965,27344
CHENNAI,Urban ,PS (I-V) ,Government Aided,0,0,0
