Location,Rural/Urban,School Category,School Management,Primary (I-V),Secondary (IX-X),Higher Secondary (XI-XII)
ADILABAD,Rural,HSS (I-XII),Department of Education,132,349,129
ADILABAD,Urban,HSS (I-XII),Department of Education,64,234,281
ADILABAD,Rural,HSS (VI-XII),Department of Education,0,1502,1952
ADILABAD,Urban,HSS (VI-XII),Department of Education,0,365,383
ADILABAD,Rural,HSS (XI-XII),Department of Education,0,0,5460
ADILABAD,Urban,HSS (XI-XII),Department of Education,0,0,2174
ADILABAD,Rural,PS (I-V),Department of Education,12,0,0
ADILABAD,Urban,PS (I-V),Department of Education,2171,0,0
ADILABAD,Rural,SS (I-X),Department of Education,173,420,0
ADILABAD,Urban,SS (I-X),Department of Education,77,266,0
ADILABAD,Rural,SS (VI-X),Department of Education,0,704,0
ADILABAD,Urban,SS (VI-X),Department of Education,0,1634,0
ADILABAD,Rural,UPS (I-VIII),Department of Education,110,0,0
ADILABAD,Urban,UPS (I-VIII),Department of Education,1131,0,0
ADILABAD,Urban,PS (I-V),Government Aided,131,0,0
ADILABAD,Urban,UPS (I-VIII),Government Aided,83,0,0
ADILABAD,Urban,SS (I-X),Kendriya Vidyalaya / Central School,205,70,0
ADILABAD,Rural,PS (I-V),Local body,22982,0,0
ADILABAD,Urban,PS (I-V),Local body,1641,0,0
ADILABAD,Rural,SS (I-X),Local body,674,137,0
ADILABAD,Urban,SS (I-X),Local body,237,71,0
ADILABAD,Rural,SS (VI-X),Local body,0,7135,0
ADILABAD,Urban,SS (VI-X),Local body,0,259,0
ADILABAD,Rural,UPS (I-VIII),Local body,6331,0,0
ADILABAD,Urban,UPS (I-VIII),Local body,405,0,0
ADILABAD,Rural,PS (I-V),Madarsa unrecognized,36,0,0
ADILABAD,Urban,PS (I-V),Madarsa unrecognized,209,0,0
ADILABAD,Urban,UPS (I-VIII),Madarsa unrecognized,226,0,0
ADILABAD,Rural,HSS (XI-XII),Private Unaided (Recognized),0,0,5889
ADILABAD,Urban,HSS (XI-XII),Private Unaided (Recognized),0,0,1685
ADILABAD,Rural,PS (I-V),Private Unaided (Recognized),859,0,0
ADILABAD,Urban,PS (I-V),Private Unaided (Recognized),245,0,0
ADILABAD,Rural,SS (I-X),Private Unaided (Recognized),4752,2126,0
ADILABAD,Urban,SS (I-X),Private Unaided (Recognized),7164,2889,0
ADILABAD,Rural,SS (VI-X),Private Unaided (Recognized),0,126,0
ADILABAD,Urban,SS (VI-X),Private Unaided (Recognized),0,117,0
ADILABAD,Rural,UPS (I-VIII),Private Unaided (Recognized),4327,0,0
ADILABAD,Urban,UPS (I-VIII),Private Unaided (Recognized),2156,0,0
ADILABAD,Rural,HSS (I-XII),Social welfare Department,76,157,158
ADILABAD,Urban,HSS (I-XII),Social welfare Department,79,158,142
ADILABAD,Rural,SS (I-X),Social welfare Department,77,158,0
ADILABAD,Rural,HSS (I-XII),Tribal Welfare Department,230,475,444
ADILABAD,Rural,HSS (XI-XII),Tribal Welfare Department,0,0,896
ADILABAD,Urban,HSS (XI-XII),Tribal Welfare Department,0,0,310
ADILABAD,Rural,PS (I-V),Tribal Welfare Department,9978,0,0
ADILABAD,Rural,SS (I-X),Tribal Welfare Department,2137,4246,0
ADILABAD,Urban,SS (I-X),Tribal Welfare Department,160,406,0
ADILABAD,Rural,UPS (I-VIII),Tribal Welfare Department,172,0,0
BHADRADRI KOTHAGUDEM,Rural,HSS (I-XII),Department of Education,79,213,173
BHADRADRI KOTHAGUDEM,Urban,HSS (I-XII),Department of Education,82,307,220
BHADRADRI KOTHAGUDEM,Rural,HSS (VI-XII),Department of Education,0,790,765
BHADRADRI KOTHAGUDEM,Urban,HSS (VI-XII),Department of Education,0,85,152
BHADRADRI KOTHAGUDEM,Rural,HSS (XI-XII),Department of Education,0,0,5639
BHADRADRI KOTHAGUDEM,Urban,HSS (XI-XII),Department of Education,0,0,434
BHADRADRI KOTHAGUDEM,Rural,PS (I-V),Department of Education,189,0,0
BHADRADRI KOTHAGUDEM,Urban,PS (I-V),Department of Education,1554,0,0
